Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-01-30 16:58:43.850425, 3000, BTC-USDT, 105532.0, KuCoin, 105690.0, Bitfinex, 0.1%, 0.1%, -1.51 USDT
2025-01-30 16:58:45.412192, 3000, ETH-USDT, 3255.72, KuCoin, 3260.2, Bitfinex, 0.1%, 0.1%, -1.88 USDT
2025-01-30 16:58:46.090772, 3000, PEPEUSDT, 1.315e-05, Binance, 1.315e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 16:58:46.773364, 3000, DOGE-USDT, 0.33641, KuCoin, 0.33648, Binance, 0.1%, 0.1%, -5.37 USDT
2025-01-30 16:58:47.678612, 3000, XRPUSDT, 3.1213, Binance, 3.1246, Bitfinex, 0.1%, 0.1%, -2.83 USDT
2025-01-30 16:58:48.506014, 3000, ADAUSDT, 0.9756, Binance, 0.97688, Bitfinex, 0.1%, 0.1%, -2.07 USDT
2025-01-30 16:58:49.419395, 3000, LTC-USDT, 131.195, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, -1.78 USDT
2025-01-30 16:58:55.784418, 3000, SOLUSDT, 240.9, Binance, 241.27, Bitfinex, 0.1%, 0.1%, -1.40 USDT
2025-01-30 16:58:57.504435, 3000, BTC-USDT, 105549.8, KuCoin, 105690.0, Bitfinex, 0.1%, 0.1%, -2.02 USDT
2025-01-30 16:58:58.308193, 3000, ETHUSDT, 3255.65, Binance, 3260.2, Bitfinex, 0.1%, 0.1%, -1.81 USDT
2025-01-30 16:58:58.989406, 3000, PEPEUSDT, 1.315e-05, Binance, 1.315e-05, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 16:58:59.789224, 3000, DOGEUSDT, 0.33644, Binance, 0.33644, Binance, 0.1%, 0.1%, -6.00 USDT
2025-01-30 16:59:00.769278, 3000, XRPUSDT, 3.1215, Binance, 3.1246, Bitfinex, 0.1%, 0.1%, -3.02 USDT
2025-01-30 16:59:01.937300, 3000, ADA-USDT, 0.9755, KuCoin, 0.97688, Bitfinex, 0.1%, 0.1%, -1.76 USDT
2025-01-30 16:59:02.845914, 3000, LTCUSDT, 131.15, Binance, 131.38, Bitfinex, 0.1%, 0.1%, -0.75 USDT
2025-01-30 16:59:10.926340, 3000, SOLUSDT, 240.91, Binance, 241.27, Bitfinex, 0.1%, 0.1%, -1.52 USDT
2025-01-30 16:59:11.777581, 3000, BTC-USDT, 105504.1, KuCoin, 105690.0, Bitfinex, 0.1%, 0.1%, -0.72 USDT
2025-01-30 16:59:15.630464, 3000, ETH-USDT, 3254.81, KuCoin, 3260.2, Bitfinex, 0.1%, 0.1%, -1.04 USDT
2025-01-30 16:59:16.323971, 3000, PEPEUSDT, 1.314e-05, Binance, 1.315e-05, KuCoin, 0.1%, 0.1%, -3.72 USDT
2025-01-30 16:59:16.964402, 3000, DOGEUSDT, 0.33625, Binance, 0.33629, KuCoin, 0.1%, 0.1%, -5.64 USDT
2025-01-30 16:59:17.962414, 3000, XRP-USDT, 3.12099, KuCoin, 3.1246, Bitfinex, 0.1%, 0.1%, -2.53 USDT
2025-01-30 16:59:18.902600, 3000, ADA-USDT, 0.9753, KuCoin, 0.97688, Bitfinex, 0.1%, 0.1%, -1.15 USDT
2025-01-30 16:59:19.837752, 3000, LTC-USDT, 131.104, KuCoin, 131.38, Bitfinex, 0.1%, 0.1%, 0.31 USDT
2025-01-30 16:59:26.033362, 3000, SOLUSDT, 240.91, Binance, 241.27, Bitfinex, 0.1%, 0.1%, -1.52 USDT
2025-01-30 16:59:26.883124, 3000, BTCUSDT, 105507.95, Binance, 105690.0, Bitfinex, 0.1%, 0.1%, -0.83 USDT
