Data_e_ora, Capitale, Prezzo_di_acquisto, Exchange_acq, Prezzo_di_vendita, Exchange_ven, Commissioni_acquisto, Commissioni_vendita, Totale_netto_ricavato
2025-01-30 15:25:54.588521, 3000, 132.864, KuCoin, 133.2, Bitfinex, 0.1%, 0.1%, 1.57 USDT
2025-01-30 15:26:18.828138, 3000, 132.808, KuCoin, 133.2, Bitfinex, 0.1%, 0.1%, 2.84 USDT
2025-01-30 15:26:31.528967, 3000, 132.806, KuCoin, 133.2, Bitfinex, 0.1%, 0.1%, 2.89 USDT
2025-01-30 15:26:45.289693, 3000, 132.65, Binance, 133.2, Bitfinex, 0.1%, 0.1%, 6.42 USDT
2025-01-30 15:40:28.587099, 3000, 3249.97, Binance, 3257.8, Bitfinex, 0.1%, 0.1%, 1.22 USDT
2025-01-30 15:40:31.554619, 3000, 3.0993, Binance, 3.1074, Bitfinex, 0.1%, 0.1%, 1.83 USDT
2025-01-30 15:40:32.406481, 3000, 0.9674, KuCoin, 0.97081, Bitfinex, 0.1%, 0.1%, 4.56 USDT
2025-01-30 15:40:33.254703, 3000, 131.15, KuCoin, 131.69, Bitfinex, 0.1%, 0.1%, 6.33 USDT
2025-01-30 15:41:02.745519, 3000, 131.214, KuCoin, 131.69, Bitfinex, 0.1%, 0.1%, 4.86 USDT
2025-01-30 15:41:14.455088, 3000, 131.07, Binance, 131.69, Bitfinex, 0.1%, 0.1%, 8.17 USDT
2025-01-30 15:41:24.484554, 3000, 3.1001, Binance, 3.1074, Bitfinex, 0.1%, 0.1%, 1.05 USDT
2025-01-30 15:41:26.374661, 3000, 131.051, KuCoin, 131.69, Bitfinex, 0.1%, 0.1%, 8.60 USDT
2025-01-30 15:41:32.600273, 3000, 239.41, Binance, 239.98, Bitfinex, 0.1%, 0.1%, 1.13 USDT
2025-01-30 15:41:34.380166, 3000, 3246.38, KuCoin, 3255.4, Bitfinex, 0.1%, 0.1%, 2.32 USDT
2025-01-30 15:41:36.548785, 3000, 3.09934, KuCoin, 3.1074, Bitfinex, 0.1%, 0.1%, 1.79 USDT
2025-01-30 15:41:38.379985, 3000, 130.968, KuCoin, 131.69, Bitfinex, 0.1%, 0.1%, 10.51 USDT
2025-01-30 15:41:46.741495, 3000, 3247.37, KuCoin, 3255.4, Bitfinex, 0.1%, 0.1%, 1.41 USDT
2025-01-30 15:41:48.946293, 3000, 3.0991, Binance, 3.1074, Bitfinex, 0.1%, 0.1%, 2.02 USDT
