Data_e_ora,Capitale,Moneta,Prezzo_di_acquisto,Exchange_acq,Prezzo_di_vendita,Exchange_ven,Commissioni_acquisto,Commissioni_vendita,Guadagno_netto
2025-02-05 16:10:01.846971, 5000, SOL, 201.7990000000, KuCoin, 203.1400000000, Bitfinex, 0.1%, 0.1%, 19.16 USDT
2025-02-05 18:38:34.239748, 5000, XRP, 2.4024000000, Bybit, 2.4164000000, Bitfinex, 0.1%, 0.1%, 16.08 USDT
2025-02-05 19:08:30.996374, 5000, LTC, 103.5100000000, Bitfinex, 104.4300000000, Binance, 0.2%, 0.1%, 26.32 USDT
2025-02-05 19:37:45.745625, 5000, XRP, 2.4074700000, KuCoin, 2.4149000000, Bitfinex, 0.1%, 0.1%, 2.41 USDT
2025-02-05 19:57:10.766128, 5000, XRP, 2.3455000000, Bybit, 2.3658000000, Bitfinex, 0.1%, 0.1%, 30.19 USDT
2025-02-05 23:09:08.177637, 5000, PEPE, 0.0000099000, Binance, 0.0000099400, KuCoin, 0.1%, 0.1%, 7.17 USDT
2025-02-06 00:07:37.693961, 5000, PEPE, 0.0000098900, KuCoin, 0.0000099400, Binance, 0.1%, 0.1%, 12.23 USDT
2025-02-06 11:52:18.557334, 5000, XRP, 2.4439000000, Bitfinex, 2.4649200000, KuCoin, 0.2%, 0.1%, 24.89 USDT
2025-02-06 13:55:14.716778, 5000, PEPE, 0.0000098200, KuCoin, 0.0000098900, Binance, 0.1%, 0.1%, 22.58 USDT
2025-02-06 14:15:06.618808, 5000, PEPE, 0.0000098800, KuCoin, 0.0000099200, Binance, 0.1%, 0.1%, 7.21 USDT
2025-02-06 14:34:01.179333, 5000, XRP, 2.4015000000, Bitfinex, 2.4324000000, Bybit, 0.2%, 0.1%, 46.15 USDT
2025-02-06 14:54:16.595300, 5000, PEPE, 0.0000098600, KuCoin, 0.0000099000, Binance, 0.1%, 0.1%, 7.25 USDT
2025-02-06 16:21:15.775853, 5000, ADA, 0.7219800000, Bitfinex, 0.7274000000, Binance, 0.2%, 0.1%, 19.43 USDT
2025-02-06 16:35:05.171515, 5000, PEPE, 0.0000094500, Binance, 0.0000095300, KuCoin, 0.1%, 0.1%, 29.25 USDT
2025-02-06 16:57:17.937642, 5000, XRP, 2.2890000000, Bitfinex, 2.3004300000, KuCoin, 0.2%, 0.1%, 6.90 USDT
2025-02-06 17:13:12.354179, 5000, PEPE, 0.0000093800, Binance, 0.0000094200, KuCoin, 0.1%, 0.1%, 8.28 USDT
2025-02-06 19:34:47.127030, 5000, LTC, 99.8500000000, Bybit, 101.0400000000, Bitfinex, 0.1%, 0.1%, 46.48 USDT
2025-02-06 20:04:13.407015, 5000, XRP, 2.2778000000, Bybit, 2.2907000000, Bitfinex, 0.1%, 0.1%, 15.27 USDT
2025-02-06 20:18:35.760570, 5000, PEPE, 0.0000093300, KuCoin, 0.0000093900, Binance, 0.1%, 0.1%, 19.10 USDT
2025-02-06 22:08:17.769692, 5000, PEPE, 0.0000093700, Binance, 0.0000094000, KuCoin, 0.1%, 0.1%, 2.98 USDT
2025-02-06 22:47:32.878914, 5000, PEPE, 0.0000093300, KuCoin, 0.0000093600, Binance, 0.1%, 0.1%, 3.05 USDT
2025-02-06 23:18:35.936433, 5000, PEPE, 0.0000092400, KuCoin, 0.0000092700, Binance, 0.1%, 0.1%, 3.21 USDT
2025-02-07 09:10:01.507589, 5000, XRP, 2.2908000000, Bitfinex, 2.3038000000, Bybit, 0.2%, 0.1%, 10.30 USDT
2025-02-07 14:36:07.821153, 5000, ADA, 0.7196600000, Bitfinex, 0.7252000000, Bybit, 0.2%, 0.1%, 20.39 USDT
2025-02-07 14:43:58.305274, 5000, ADA, 0.7348300000, Bitfinex, 0.7383000000, Bybit, 0.2%, 0.1%, 5.55 USDT
2025-02-07 15:03:18.710124, 5000, XRP, 2.4868000000, Bitfinex, 2.4995500000, KuCoin, 0.2%, 0.1%, 7.57 USDT
2025-02-07 15:07:42.642639, 5000, XRP, 2.5053000000, Bitfinex, 2.5321000000, Bybit, 0.2%, 0.1%, 35.34 USDT
2025-02-07 16:08:16.802998, 5000, XRP, 2.4859000000, Binance, 2.4960000000, Bitfinex, 0.1%, 0.1%, 7.28 USDT
